spotify_id,nome,artista,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
52LVnKB4Vs9XMi4rm4StNT,It's Not Up To You,Bjork,0.586,0.561,0.438,0.000204,6,0.0588,-12.414,0,0.0574,79.928,0.312
2dkeRnIM7fXKBkkHvkz91v,Like Someone In Love,Bjork,0.965,0.394,0.152,5.9e-05,7,0.166,-14.953,1,0.0394,70.058,0.0777
6YoNajB4BxG971cu0Q1BoE,You've Been Flirting Again,Bjork,0.951,0.179,0.0517,0.000365,5,0.121,-21.043,1,0.0412,103.297,0.17
6JrmglKffvzzCZCtMEdUtk,Unravel,Bjork,0.789,0.186,0.385,0.0,7,0.157,-9.811,1,0.0332,85.837,0.0545
1R2UhZCSxL1N4kcwa929Fu,Crying,Bjork,0.00571,0.654,0.676,0.0271,4,0.487,-11.164,0,0.0306,116.202,0.718
48oX55j4gqDw0G80KxzpaQ,Venus As A Boy,Bjork,0.0307,0.622,0.402,0.00372,1,0.0697,-11.751,1,0.034,136.261,0.826
2runFrIwOg5p2HZo1oymEL,There's More To Life Than This - Live At The Milk Bar Toilets,Bjork,0.0553,0.728,0.507,0.0846,7,0.948,-12.947,1,0.0384,124.234,0.714
5diiEB0edX69v9x3e96NyO,Big Time Sensuality,Bjork,7.03e-05,0.722,0.721,0.016,1,0.142,-12.248,0,0.0945,118.59,0.53
1k9y7iGRJvg5Kdvd94SGTi,One Day,Bjork,0.0041,0.615,0.515,0.00246,0,0.113,-13.332,1,0.0356,105.175,0.19
1iBP7S79utGK7w8ud2GwwD,Aeroplane,Bjork,0.0863,0.638,0.29,0.00324,7,0.146,-14.053,1,0.0311,104.634,0.138
17tCBb8odaNBZivCojHhvw,Come To Me,Bjork,0.00254,0.485,0.591,3.98e-05,5,0.114,-13.598,1,0.0332,173.449,0.309
66KzeZCQCe1dUl13nCasOv,Violently Happy,Bjork,0.266,0.692,0.61,0.00819,7,0.128,-14.426,1,0.0496,120.334,0.252
1HFvDETKd9km5DRGd4DkrA,Immature - Mark Bell's Version,Bjork,0.365,0.35,0.767,0.00226,6,0.0977,-7.203,0,0.0438,187.953,0.106
2w0wVOiydK5a5e5UqffWwS,Hyper-ballad,Bjork,0.0252,0.527,0.441,0.00139,5,0.378,-13.034,0,0.033,134.99,0.0354
4QJBOGf8BiuVDoGmSQM8p3,The Modern Things,Bjork,0.241,0.428,0.386,0.0,4,0.262,-13.544,1,0.0415,67.025,0.377
45Ok4AREEWfPIBZ4ylCXK7,It's Oh So Quiet,Bjork,0.662,0.467,0.13,0.0,5,0.0711,-14.154,0,0.0513,127.559,0.231
05meZdvKNj4FBxNbdMgpT6,Isobel,Bjork,0.000651,0.593,0.564,0.318,9,0.113,-11.237,1,0.0299,100.039,0.182
104n46NrvCQ2qXoBWY35ch,Possibly Maybe,Bjork,0.775,0.383,0.132,0.00305,11,0.203,-17.177,1,0.0337,57.476,0.183
2pDMVFdeAsFI73DDekyvDf,I Miss You,Bjork,0.0246,0.635,0.764,0.441,2,0.0211,-10.654,0,0.0383,120.934,0.11
3DwWbiYkm7oZ2nUnNO1Jcx,Headphones,Bjork,0.685,0.499,0.0296,0.0334,11,0.102,-28.878,0,0.0401,170.179,0.0819
2nKm2PzPQ3PLOCSEHetFxz,Hunter,Bjork,0.152,0.326,0.668,0.0507,8,0.0863,-10.359,1,0.088,79.765,0.171
6txguGr32i8SpgZ4KEKQQG,Bachelorette,Bjork,0.057,0.442,0.911,9.27e-06,0,0.103,-4.358,0,0.0738,96.925,0.347
4PbYKPKq2hpDXV3YckN5tW,All Neon Like,Bjork,0.594,0.529,0.518,0.0111,0,0.0673,-10.182,0,0.041,152.123,0.236
3mmB2OL6YP2FwMR6eQ5mp5,5 Years,Bjork,0.159,0.467,0.897,0.0168,5,0.288,-5.974,1,0.359,82.899,0.496
5ghdg3LmJ6u8SQNDAXQ58T,Alarm Call,Bjork,0.266,0.656,0.879,1.91e-06,5,0.0901,-5.115,0,0.0629,97.059,0.631
0zgPZSkp20PSuyToQ0lZ0h,Pluto,Bjork,0.00271,0.611,0.83,0.368,8,0.0808,-4.578,1,0.182,147.996,0.262
1Y4aFRwAwE5Ghm24vaYrnR,Hidden Place,Bjork,0.0503,0.491,0.788,0.00371,9,0.112,-10.357,0,0.156,149.826,0.422
7CfR16ahj7mi6OwTZaPBri,Cocoon,Bjork,0.635,0.794,0.37,0.111,1,0.109,-14.897,1,0.0526,127.882,0.112
4HuzulSsDeFqvq3e84ZIrI,Undo,Bjork,0.78,0.452,0.365,0.00681,2,0.114,-11.891,0,0.035,115.8,0.0549
2uMm657euPoE7Vgaukuupl,Pagan Poetry,Bjork,0.505,0.521,0.459,7.91e-06,1,0.0868,-8.231,0,0.0295,132.022,0.179
7ESAiaiNmtWh7bzqJpCGxU,Aurora,Bjork,0.37,0.568,0.581,2.73e-05,9,0.0814,-8.319,0,0.0341,120.006,0.278
"6e2DqJ8wXuS3e5zuBPaHGL,""An Echo, A Stain"",Bjork,0.58,0.351,0.512,0.193,2,0.0858,-13.353,1,0.0687,127.913,0.0729"
3nschTSboTkjPwgdbrRLyf,Joga,Bjork,0.402,0.305,0.696,7.21e-05,1,0.0741,-6.301,0,0.0598,146.456,0.222
3CgRrPkrjTeBH4a9JlcCVZ,All Is Full Of Love - Howie's Version,Bjork,0.0666,0.146,0.318,3.8e-05,11,0.111,-9.392,1,0.0376,138.227,0.0364
7kyQeUJ6g5GQNHUfV2f79v,Frosti,Bjork,0.638,0.434,0.358,0.00555,6,0.305,-12.814,1,0.0347,147.896,0.154
6MYYN85MjM7TARWshRwjyW,Human Behaviour,Bjork,0.0448,0.687,0.635,0.0274,2,0.0968,-14.667,1,0.0366,109.453,0.547
2x9arVHUqJjyGCcIhiPWGY,The Anchor Song,Bjork,0.935,0.424,0.0294,0.0,0,0.0621,-14.807,1,0.0679,173.615,0.391
4UFQBhIOgANiBG44USIgsf,Army Of Me,Bjork,0.00815,0.46,0.69,7.78e-05,6,0.267,-9.225,1,0.034,172.111,0.491
4N4qSX4RpU7U5TW6PMg84a,Enjoy,Bjork,0.00172,0.548,0.879,0.754,2,0.129,-10.719,1,0.0478,84.183,0.457
2s3mDbXJ6sqh1IP7yw5aEl,Cover Me,Bjork,0.939,0.366,0.296,0.603,9,0.652,-22.515,0,0.0426,89.763,0.282
