spotify_id,nome,artista,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
52LVnKB4Vs9XMi4rm4StNT,It's Not Up To You,Bjork,586,561,438,204,6,588,-12.414,0,574,79.928,312
2dkeRnIM7fXKBkkHvkz91v,Like Someone In Love,Bjork,965,394,152,5.9e-05,7,166,-14.953,1,394,70.058,777
6YoNajB4BxG971cu0Q1BoE,You've Been Flirting Again,Bjork,951,179,517,365,5,121,-21.043,1,412,103.297,0.17
6JrmglKffvzzCZCtMEdUtk,Unravel,Bjork,789,186,385,0.0,7,157,-9.811,1,332,85.837,545
1R2UhZCSxL1N4kcwa929Fu,Crying,Bjork,571,654,676,271,4,487,-11.164,0,306,116.202,718
48oX55j4gqDw0G80KxzpaQ,Venus As A Boy,Bjork,307,622,402,372,1,697,-11.751,1,34,136.261,826
2runFrIwOg5p2HZo1oymEL,There's More To Life Than This,Bjork,553,728,507,846,7,948,-12.947,1,384,124.234,714
5diiEB0edX69v9x3e96NyO,Big Time Sensuality,Bjork,7.03e-05,722,721,16,1,142,-12.248,0,945,118.59,0.53
1k9y7iGRJvg5Kdvd94SGTi,One Day,Bjork,41,615,515,246,0,113,-13.332,1,356,105.175,0.19
1iBP7S79utGK7w8ud2GwwD,Aeroplane,Bjork,863,638,0.29,324,7,146,-14.053,1,311,104.634,138
17tCBb8odaNBZivCojHhvw,Come To Me,Bjork,254,485,591,3.98e-05,5,114,-13.598,1,332,173.449,309
66KzeZCQCe1dUl13nCasOv,Violently Happy,Bjork,266,692,0.61,819,7,128,-14.426,1,496,120.334,252
1HFvDETKd9km5DRGd4DkrA,Immature - Mark Bell's Version,Bjork,365,0.35,767,226,6,977,-7.203,0,438,187.953,106
2w0wVOiydK5a5e5UqffWwS,Hyper-ballad,Bjork,252,527,441,139,5,378,-13.034,0,33,134.99,354
4QJBOGf8BiuVDoGmSQM8p3,The Modern Things,Bjork,241,428,386,0.0,4,262,-13.544,1,415,67.025,377
45Ok4AREEWfPIBZ4ylCXK7,It's Oh So Quiet,Bjork,662,467,0.13,0.0,5,711,-14.154,0,513,127.559,231
05meZdvKNj4FBxNbdMgpT6,Isobel,Bjork,651,593,564,318,9,113,-11.237,1,299,100.039,182
104n46NrvCQ2qXoBWY35ch,Possibly Maybe,Bjork,775,383,132,305,11,203,-17.177,1,337,57.476,183
2pDMVFdeAsFI73DDekyvDf,I Miss You,Bjork,246,635,764,441,2,211,-10.654,0,383,120.934,0.11
3DwWbiYkm7oZ2nUnNO1Jcx,Headphones,Bjork,685,499,296,334,11,102,-28.878,0,401,170.179,819
2nKm2PzPQ3PLOCSEHetFxz,Hunter,Bjork,152,326,668,507,8,863,-10.359,1,88,79.765,171
6txguGr32i8SpgZ4KEKQQG,Bachelorette,Bjork,57,442,911,9.27e-06,0,103,-4.358,0,738,96.925,347
4PbYKPKq2hpDXV3YckN5tW,All Neon Like,Bjork,594,529,518,111,0,673,-10.182,0,41,152.123,236
3mmB2OL6YP2FwMR6eQ5mp5,5 Years,Bjork,159,467,897,168,5,288,-5.974,1,359,82.899,496
5ghdg3LmJ6u8SQNDAXQ58T,Alarm Call,Bjork,266,656,879,1.91e-06,5,901,-5.115,0,629,97.059,631
0zgPZSkp20PSuyToQ0lZ0h,Pluto,Bjork,271,611,0.83,368,8,808,-4.578,1,182,147.996,262
1Y4aFRwAwE5Ghm24vaYrnR,Hidden Place,Bjork,503,491,788,371,9,112,-10.357,0,156,149.826,422
7CfR16ahj7mi6OwTZaPBri,Cocoon,Bjork,635,794,0.37,111,1,109,-14.897,1,526,127.882,112
4HuzulSsDeFqvq3e84ZIrI,Undo,Bjork,0.78,452,365,681,2,114,-11.891,0,35,115.8,549
2uMm657euPoE7Vgaukuupl,Pagan Poetry,Bjork,505,521,459,7.91e-06,1,868,-8.231,0,295,132.022,179
7ESAiaiNmtWh7bzqJpCGxU,Aurora,Bjork,0.37,568,581,2.73e-05,9,814,-8.319,0,341,120.006,278
6e2DqJ8wXuS3e5zuBPaHGL,"An Echo, A Stain",Bjork,0.58,351,512,193,2,858,-13.353,1,687,127.913,729
3nschTSboTkjPwgdbrRLyf,Joga,Bjork,402,305,696,7.21e-05,1,741,-6.301,0,598,146.456,222
3CgRrPkrjTeBH4a9JlcCVZ,All Is Full Of Love - Howie's Version,Bjork,666,146,318,3.8e-05,11,111,-9.392,1,376,138.227,364
7kyQeUJ6g5GQNHUfV2f79v,Frosti,Bjork,638,434,358,555,6,305,-12.814,1,347,147.896,154
6MYYN85MjM7TARWshRwjyW,Human Behaviour,Bjork,448,687,635,274,2,968,-14.667,1,366,109.453,547
2x9arVHUqJjyGCcIhiPWGY,The Anchor Song,Bjork,935,424,294,0.0,0,621,-14.807,1,679,173.615,391
4UFQBhIOgANiBG44USIgsf,Army Of Me,Bjork,815,0.46,0.69,7.78e-05,6,267,-9.225,1,34,172.111,491
4N4qSX4RpU7U5TW6PMg84a,Enjoy,Bjork,172,548,879,754,2,129,-10.719,1,478,84.183,457
2s3mDbXJ6sqh1IP7yw5aEl,Cover Me,Bjork,939,366,296,603,9,652,-22.515,0,426,89.763,282
4BIbhfDK6x80KpyR7g6gze,Family,Bjork,892,175,286,266,8,112,-13.01,0,379,78.215,391
17DNqXJCKp5ku17UUvzFj9,Stonemilker,Bjork,0.12,133,257,608,2,0.1,-13.545,1,317,82.163,501
4R6JvOtTKJ1WZURbedVknL,Lionsong,Bjork,548,291,296,1.25e-06,7,173,-13.292,0,472,142.708,634
4Ljm5JMrUZp88Uxq6qioOH,History Of Touches,Bjork,797,255,143,0.0,1,0.18,-15.36,1,31,165.406,136
5qfJSItAIEndephCzfQ6Nu,Black Lake,Bjork,473,241,219,81,3,823,-15.15,0,362,135.914,364
0NdYYigNfQqzL0k0ZxAlPQ,Notget,Bjork,504,309,573,729,9,88,-12.629,0,0.36,178.769,218
7gZ03tXzYAfKpRovt1nMUU,Atom Dance,Bjork,0.59,545,0.41,169,5,362,-10.062,1,525,136.0,355
0jScPW4VvJDNviR3YrPtas,Mouth Mantra,Bjork,598,271,569,587,5,106,-8.174,0,544,76.6,133
4mhuw0kAHPdZeidq1UIAQP,Sun In My Mouth,Bjork,746,254,281,1.33e-05,10,786,-11.012,0,286,89.722,163
0XFWWQ2Csze69J9oIC88RS,Heirloom,Bjork,268,577,369,549,7,787,-11.618,0,477,179.816,497
7qaI6YnDKWOblDUwa6b5jQ,Unison,Bjork,0.38,0.52,0.51,392,5,203,-10.984,1,465,147.89,212
1IPwLXziyeuNfp63Dz6ePj,Harm Of Will,Bjork,968,0.25,143,531,1,86,-16.228,1,326,85.771,768
3NAxXFxc3F9TkgNdf5p5ud,Quicksand,Bjork,343,604,787,118,2,883,-7.453,1,444,149.982,318
0OF14BivUjlWIsSkM8YkID,Estrada Do Sol,Gal Costa,612,437,289,0.0,0,739,-14.636,1,321,146.338,358
2m1G38M0gJuE4aVPh0tmIP,Balance,Gal Costa,849,638,736,0.0,9,333,-10.536,1,811,144.823,881
1jS40a1EenwV8LbkFJ7N4r,Solar,Gal Costa,789,489,0.33,4.35e-06,4,158,-13.867,0,369,105.93,158
3myEwOVzxFHy35whbExH85,Groupie / Musicas Incidentais,Gal Costa,722,444,441,297,5,512,-16.332,1,893,114.161,644
6wXKVwv9OBiiEOS5W3Ylhw,Noites Cariocas (Minhas Noites Sem Sono),Gal Costa,407,513,668,0.0,11,101,-12.475,0,996,177.433,914
1DIC7C6GzE9S7tqwsUkdMp,India,Gal Costa,0.51,457,0.18,0.0,2,124,-15.707,1,343,97.725,463
5LUvxwjUfv42t4Y6uXZoU3,Musa Cabolca,Gal Costa,679,738,485,247,2,117,-13.208,1,381,96.524,858
6OwTwISVd3Nfk9CaXIEUg2,"Bahia, Minha Preta",Gal Costa,326,747,591,204,2,163,-10.26,1,397,89.345,961
04O9xGFtrICRAkCvCeB2Xq,Bumbo Da Mangueira,Gal Costa,445,773,758,264,4,819,-10.494,1,665,95.854,968
1sJ4kZlieB05DnNYCFN1Jw,Erratica,Gal Costa,955,564,683,1.65e-06,5,917,-15.39,1,428,110.096,213
6sKopGG4r21ObTE8V6pD6x,Forca Estranha,Gal Costa,0.87,0.6,0.12,0.0,7,88,-12.805,1,502,60.761,439
6jBbwohnRTLJTATcHNXrIX,A Preta Do Acaraje,Gal Costa,0.63,447,443,0.0,9,102,-13.699,0,247,97.181,371
02I5U6Hwv0jojcoJaFYPw5,Dez Anos,Gal Costa,714,542,505,3.92e-06,5,294,-12.265,1,657,111.208,657
2XNOX43RojgKRDjm0nLLL7,Olha,Gal Costa,566,687,479,7.09e-05,2,122,-14.132,1,277,106.112,0.48
2FcTHT7YIsJuJNbVYk3n19,Juventude Transviada,Gal Costa,305,741,482,0.0,2,108,-11.966,1,845,107.776,407
052aelzpn96BiGSHLfblmZ,O Bater Do Tambor,Gal Costa,972,473,668,0.0,1,344,-10.787,0,216,144.322,868
7bABDpHPCPc55rCBnjmljA,Meu Nome E Gal,Gal Costa,904,643,769,16,7,781,-10.928,0,0.1,95.481,845
1WnuBytsKyK75FtGPRLIML,Mae da Manha,Gal Costa,862,681,165,6.14e-06,2,924,-13.177,0,356,93.51,0.48
3JrC6XLT4pa4VVUljeQh0u,Gratitude,Gal Costa,953,476,513,2.01e-06,2,113,-17.153,1,35,78.418,151
7DqPokh94js5rJUQf1mMtV,Eu Vou Lhe Avisar,Gal Costa,102,807,625,4.07e-05,5,105,-11.132,1,425,93.243,945
2H7I1wNok0IoFILmJlW5zn,Nuvem Negra,Gal Costa,576,721,184,0.0,9,112,-17.424,0,442,138.381,582
2swRPS7Kri7xGXJFjZSanu,Samba Rasgado,Gal Costa,478,672,709,0.0,1,413,-13.132,0,165,103.163,0.94
6eEO2Kdb1A5GuE38HF8DlG,Sutis Diferencas,Gal Costa,524,535,644,119,8,288,-11.584,0,48,107.776,402
7bYWRdWnk84hsTj9h7kvad,Bahia De Todas As Contas,Gal Costa,417,737,0.7,8.57e-05,5,148,-12.0,1,947,103.609,878
2dTsalEmqS8N8dQ4FRCGEC,Sim Ou Nao,Gal Costa,528,405,409,2.34e-06,1,203,-10.408,1,289,119.105,157
14HD3dj9wrZt4cFqxVF9Ns,Grande Final,Gal Costa,302,533,697,0.0,7,638,-10.421,0,199,140.573,728
49U4mc1sXfZlMoGeFpDmYP,Rumba Louca,Gal Costa,289,734,788,0.0,7,346,-9.466,1,111,106.972,895
4HjOHnfZDnI8GBX58g4eZb,Olhos Do Coracao,Gal Costa,679,586,604,2.25e-06,4,112,-10.792,0,618,129.83,839
6gyktdYvwcxqlLt69yP9ty,De Flor Em Flor,Gal Costa,786,473,443,0.0,7,201,-12.16,1,461,77.509,426
2yxjJdeGee4MXk1JV474Jv,Ave Nossa,Gal Costa,0.3,0.67,417,0.0,2,121,-16.812,1,168,104.841,566
2GwtezywVBW9LQkupMBjY2,Lavagem Do Bonfim,Gal Costa,505,771,633,469,7,103,-9.399,0,354,90.054,0.9
5bdLUAp16jcUei1U3vXBNG,Voce e Voce,Gal Costa,751,469,191,1.07e-05,2,174,-12.614,1,392,183.86,475
4sNur9bZAPcDU9PonsqQwM,Chuva de Prata (feat Roupa Nova),Gal Costa,617,741,333,161,0,724,-16.235,1,331,116.966,524
2c0AOHqobxdAzsMCqANu7V,Nada Mais (Lately),Gal Costa,741,325,126,4.59e-06,5,516,-16.558,1,314,75.914,108
1EJYIZO30gA9EMFWp3ShGe,Cabeca Feita/Tililingo/Tem Pouca Diferenca,Gal Costa,177,0.56,702,0.0,4,375,-13.403,1,254,114.242,819
19eQAAUdPF6NQdg7k58VEc,Atras da Luminosidade,Gal Costa,869,646,789,1.8e-06,11,382,-13.1,1,682,147.193,881
0A6clrj2p2v17FxInnPhP9,De Volta ao Comeco,Gal Costa,425,438,285,9.42e-05,10,0.18,-17.165,1,414,172.897,0.36
6SipVtMYeSuZqhpcodHKtU,Onde Esta o Dinheiro,Gal Costa,129,687,744,327,3,135,-11.523,1,412,147.322,962
6hZ3kkJiTkjd2Y1jjZa8oT,Topazio,Gal Costa,747,565,304,1.39e-05,4,133,-15.922,0,376,85.554,297
