spotify_id,nome,artista,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
3DwWbiYkm7oZ2nUnNO1Jcx,Headphones,Björk,685.0,499.0,296.0,334,11,102.0,-28.878,0,401.0,170.179,819.0
17DNqXJCKp5ku17UUvzFj9,Stonemilker,Björk,0.12,133.0,257.0,608,2,0.1,-13.545,1,317.0,82.163,501.0
0jScPW4VvJDNviR3YrPtas,Mouth Mantra,Björk,598.0,271.0,569.0,587,5,106.0,-8.174,0,544.0,76.6,133.0
1HFvDETKd9km5DRGd4DkrA,Immature - Mark Bell's Version,Björk,365.0,0.35,767.0,226,6,977.0,-7.203,0,438.0,187.953,106.0
4Ljm5JMrUZp88Uxq6qioOH,History Of Touches,Björk,797.0,255.0,143.0,0.0,1,0.18,-15.36,1,31.0,165.406,136.0
48oX55j4gqDw0G80KxzpaQ,Venus As A Boy,Björk,307.0,622.0,402.0,372,1,697.0,-11.751,1,34.0,136.261,826.0
104n46NrvCQ2qXoBWY35ch,Possibly Maybe,Björk,775.0,383.0,132.0,305,11,203.0,-17.177,1,337.0,57.476,183.0
7qaI6YnDKWOblDUwa6b5jQ,Unison,Björk,0.38,0.52,0.51,392,5,203.0,-10.984,1,465.0,147.89,212.0
6JrmglKffvzzCZCtMEdUtk,Unravel,Björk,789.0,186.0,385.0,0.0,7,157.0,-9.811,1,332.0,85.837,545.0
3nschTSboTkjPwgdbrRLyf,Joga,Björk,402.0,305.0,696.0,7.21e-05,1,741.0,-6.301,0,598.0,146.456,222.0
2w0wVOiydK5a5e5UqffWwS,Hyper-ballad,Björk,252.0,527.0,441.0,139,5,378.0,-13.034,0,33.0,134.99,354.0
1k9y7iGRJvg5Kdvd94SGTi,One Day,Björk,41.0,615.0,515.0,246,0,113.0,-13.332,1,356.0,105.175,0.19
1Y4aFRwAwE5Ghm24vaYrnR,Hidden Place,Björk,503.0,491.0,788.0,371,9,112.0,-10.357,0,156.0,149.826,422.0
2runFrIwOg5p2HZo1oymEL,There's More To Life Than This,Björk,553.0,728.0,507.0,846,7,948.0,-12.947,1,384.0,124.234,714.0
7kyQeUJ6g5GQNHUfV2f79v,Frosti,Björk,638.0,434.0,358.0,555,6,305.0,-12.814,1,347.0,147.896,154.0
1R2UhZCSxL1N4kcwa929Fu,Crying,Björk,571.0,654.0,676.0,271,4,487.0,-11.164,0,306.0,116.202,718.0
4UFQBhIOgANiBG44USIgsf,Army Of Me,Björk,815.0,0.46,0.69,7.78e-05,6,267.0,-9.225,1,34.0,172.111,491.0
5ghdg3LmJ6u8SQNDAXQ58T,Alarm Call,Björk,266.0,656.0,879.0,1.91e-06,5,901.0,-5.115,0,629.0,97.059,631.0
5qfJSItAIEndephCzfQ6Nu,Black Lake,Björk,473.0,241.0,219.0,81,3,823.0,-15.15,0,362.0,135.914,364.0
3CgRrPkrjTeBH4a9JlcCVZ,All Is Full Of Love - Howie's Version,Björk,666.0,146.0,318.0,3.8e-05,11,111.0,-9.392,1,376.0,138.227,364.0
0XFWWQ2Csze69J9oIC88RS,Heirloom,Björk,268.0,577.0,369.0,549,7,787.0,-11.618,0,477.0,179.816,497.0
45Ok4AREEWfPIBZ4ylCXK7,It's Oh So Quiet,Björk,662.0,467.0,0.13,0.0,5,711.0,-14.154,0,513.0,127.559,231.0
1iBP7S79utGK7w8ud2GwwD,Aeroplane,Björk,863.0,638.0,0.29,324,7,146.0,-14.053,1,311.0,104.634,138.0
05meZdvKNj4FBxNbdMgpT6,Isobel,Björk,651.0,593.0,564.0,318,9,113.0,-11.237,1,299.0,100.039,182.0
7ESAiaiNmtWh7bzqJpCGxU,Aurora,Björk,0.37,568.0,581.0,2.73e-05,9,814.0,-8.319,0,341.0,120.006,278.0
2x9arVHUqJjyGCcIhiPWGY,The Anchor Song,Björk,935.0,424.0,294.0,0.0,0,621.0,-14.807,1,679.0,173.615,391.0
0zgPZSkp20PSuyToQ0lZ0h,Pluto,Björk,271.0,611.0,0.83,368,8,808.0,-4.578,1,182.0,147.996,262.0
66KzeZCQCe1dUl13nCasOv,Violently Happy,Björk,266.0,692.0,0.61,819,7,128.0,-14.426,1,496.0,120.334,252.0
52LVnKB4Vs9XMi4rm4StNT,It's Not Up To You,Björk,586.0,561.0,438.0,204,6,588.0,-12.414,0,574.0,79.928,312.0
7gZ03tXzYAfKpRovt1nMUU,Atom Dance,Björk,0.59,545.0,0.41,169,5,362.0,-10.062,1,525.0,136.0,355.0
7CfR16ahj7mi6OwTZaPBri,Cocoon,Björk,635.0,794.0,0.37,111,1,109.0,-14.897,1,526.0,127.882,112.0
6e2DqJ8wXuS3e5zuBPaHGL,"An Echo, A Stain",Björk,0.58,351.0,512.0,193,2,858.0,-13.353,1,687.0,127.913,729.0
2s3mDbXJ6sqh1IP7yw5aEl,Cover Me,Björk,939.0,366.0,296.0,603,9,652.0,-22.515,0,426.0,89.763,282.0
2uMm657euPoE7Vgaukuupl,Pagan Poetry,Björk,505.0,521.0,459.0,7.91e-06,1,868.0,-8.231,0,295.0,132.022,179.0
0NdYYigNfQqzL0k0ZxAlPQ,Notget,Björk,504.0,309.0,573.0,729,9,88.0,-12.629,0,0.36,178.769,218.0
2dkeRnIM7fXKBkkHvkz91v,Like Someone In Love,Björk,965.0,394.0,152.0,5.9e-05,7,166.0,-14.953,1,394.0,70.058,777.0
6txguGr32i8SpgZ4KEKQQG,Bachelorette,Björk,57.0,442.0,911.0,9.27e-06,0,103.0,-4.358,0,738.0,96.925,347.0
6YoNajB4BxG971cu0Q1BoE,You've Been Flirting Again,Björk,951.0,179.0,517.0,365,5,121.0,-21.043,1,412.0,103.297,0.17
4BIbhfDK6x80KpyR7g6gze,Family,Björk,892.0,175.0,286.0,266,8,112.0,-13.01,0,379.0,78.215,391.0
6MYYN85MjM7TARWshRwjyW,Human Behaviour,Björk,448.0,687.0,635.0,274,2,968.0,-14.667,1,366.0,109.453,547.0
3mmB2OL6YP2FwMR6eQ5mp5,5 Years,Björk,159.0,467.0,897.0,168,5,288.0,-5.974,1,359.0,82.899,496.0
4mhuw0kAHPdZeidq1UIAQP,Sun In My Mouth,Björk,746.0,254.0,281.0,1.33e-05,10,786.0,-11.012,0,286.0,89.722,163.0
0A6clrj2p2v17FxInnPhP9,De Volta ao Comeco,Gal Costa,425.0,438.0,285.0,9.42e-05,10,0.18,-17.165,1,414.0,172.897,0.36
1jS40a1EenwV8LbkFJ7N4r,Solar,Gal Costa,789.0,489.0,0.33,4.35e-06,4,158.0,-13.867,0,369.0,105.93,158.0
5fW1ZkE0ze8v5J7fp82XaV,Serene,Gal Costa,946.0,491.0,0.09,212,0,926.0,-17.322,1,347.0,134.607,135.0
6eEO2Kdb1A5GuE38HF8DlG,Sutis Diferencas,Gal Costa,524.0,535.0,644.0,119,8,288.0,-11.584,0,48.0,107.776,402.0
2GwtezywVBW9LQkupMBjY2,Lavagem Do Bonfim,Gal Costa,505.0,771.0,633.0,469,7,103.0,-9.399,0,354.0,90.054,0.9
49U4mc1sXfZlMoGeFpDmYP,Rumba Louca,Gal Costa,289.0,734.0,788.0,0.0,7,346.0,-9.466,1,111.0,106.972,895.0
0OF14BivUjlWIsSkM8YkID,Estrada Do Sol,Gal Costa,612.0,437.0,289.0,0.0,0,739.0,-14.636,1,321.0,146.338,358.0
6sKopGG4r21ObTE8V6pD6x,Forca Estranha,Gal Costa,0.87,0.6,0.12,0.0,7,88.0,-12.805,1,502.0,60.761,439.0
02I5U6Hwv0jojcoJaFYPw5,Dez Anos,Gal Costa,714.0,542.0,505.0,3.92e-06,5,294.0,-12.265,1,657.0,111.208,657.0
3JrC6XLT4pa4VVUljeQh0u,Gratitude,Gal Costa,953.0,476.0,513.0,2.01e-06,2,113.0,-17.153,1,35.0,78.418,151.0
7bYWRdWnk84hsTj9h7kvad,Bahia De Todas As Contas,Gal Costa,417.0,737.0,0.7,8.57e-05,5,148.0,-12.0,1,947.0,103.609,878.0
6wXKVwv9OBiiEOS5W3Ylhw,Noites Cariocas (Minhas Noites Sem Sono),Gal Costa,407.0,513.0,668.0,0.0,11,101.0,-12.475,0,996.0,177.433,914.0
14HD3dj9wrZt4cFqxVF9Ns,Grande Final,Gal Costa,302.0,533.0,697.0,0.0,7,638.0,-10.421,0,199.0,140.573,728.0
04O9xGFtrICRAkCvCeB2Xq,Bumbo Da Mangueira,Gal Costa,445.0,773.0,758.0,264,4,819.0,-10.494,1,665.0,95.854,968.0
2dTsalEmqS8N8dQ4FRCGEC,Sim Ou Nao,Gal Costa,528.0,405.0,409.0,2.34e-06,1,203.0,-10.408,1,289.0,119.105,157.0
6hZ3kkJiTkjd2Y1jjZa8oT,Topazio,Gal Costa,747.0,565.0,304.0,1.39e-05,4,133.0,-15.922,0,376.0,85.554,297.0
2H7I1wNok0IoFILmJlW5zn,Nuvem Negra,Gal Costa,576.0,721.0,184.0,0.0,9,112.0,-17.424,0,442.0,138.381,582.0
6SipVtMYeSuZqhpcodHKtU,Onde Esta o Dinheiro,Gal Costa,129.0,687.0,744.0,327,3,135.0,-11.523,1,412.0,147.322,962.0
2FcTHT7YIsJuJNbVYk3n19,Juventude Transviada,Gal Costa,305.0,741.0,482.0,0.0,2,108.0,-11.966,1,845.0,107.776,407.0
052aelzpn96BiGSHLfblmZ,O Bater Do Tambor,Gal Costa,972.0,473.0,668.0,0.0,1,344.0,-10.787,0,216.0,144.322,868.0
19eQAAUdPF6NQdg7k58VEc,Atras da Luminosidade,Gal Costa,869.0,646.0,789.0,1.8e-06,11,382.0,-13.1,1,682.0,147.193,881.0
0YU75pIqd8tlI7UdYOiTJ9,O Revolver Do Meu Sonho,Gal Costa,819.0,596.0,665.0,25,4,237.0,-12.35,1,325.0,140.806,773.0
6gyktdYvwcxqlLt69yP9ty,De Flor Em Flor,Gal Costa,786.0,473.0,443.0,0.0,7,201.0,-12.16,1,461.0,77.509,426.0
4sNur9bZAPcDU9PonsqQwM,Chuva de Prata (feat Roupa Nova),Gal Costa,617.0,741.0,333.0,161,0,724.0,-16.235,1,331.0,116.966,524.0
6jBbwohnRTLJTATcHNXrIX,A Preta Do Acaraje,Gal Costa,0.63,447.0,443.0,0.0,9,102.0,-13.699,0,247.0,97.181,371.0
1WnuBytsKyK75FtGPRLIML,Mae da Manha,Gal Costa,862.0,681.0,165.0,6.14e-06,2,924.0,-13.177,0,356.0,93.51,0.48
5bdLUAp16jcUei1U3vXBNG,Voce e Voce,Gal Costa,751.0,469.0,191.0,1.07e-05,2,174.0,-12.614,1,392.0,183.86,475.0
2c0AOHqobxdAzsMCqANu7V,Nada Mais (Lately),Gal Costa,741.0,325.0,126.0,4.59e-06,5,516.0,-16.558,1,314.0,75.914,108.0
1sJ4kZlieB05DnNYCFN1Jw,Erratica,Gal Costa,955.0,564.0,683.0,1.65e-06,5,917.0,-15.39,1,428.0,110.096,213.0
2swRPS7Kri7xGXJFjZSanu,Samba Rasgado,Gal Costa,478.0,672.0,709.0,0.0,1,413.0,-13.132,0,165.0,103.163,0.94
1DIC7C6GzE9S7tqwsUkdMp,India,Gal Costa,0.51,457.0,0.18,0.0,2,124.0,-15.707,1,343.0,97.725,463.0
2yxjJdeGee4MXk1JV474Jv,Ave Nossa,Gal Costa,0.3,0.67,417.0,0.0,2,121.0,-16.812,1,168.0,104.841,566.0
3hYtvPSovBfIytGGydzJsZ,Alcohol,Gal Costa,115.0,819.0,821.0,2,7,442.0,-7.642,1,749.0,95.406,0.81
3myEwOVzxFHy35whbExH85,Groupie / Musicas Incidentais,Gal Costa,722.0,444.0,441.0,297,5,512.0,-16.332,1,893.0,114.161,644.0
7bABDpHPCPc55rCBnjmljA,Meu Nome E Gal,Gal Costa,904.0,643.0,769.0,16,7,781.0,-10.928,0,0.1,95.481,845.0
2XNOX43RojgKRDjm0nLLL7,Olha,Gal Costa,566.0,687.0,479.0,7.09e-05,2,122.0,-14.132,1,277.0,106.112,0.48
1EJYIZO30gA9EMFWp3ShGe,Cabeca Feita/Tililingo/Tem Pouca Diferenca,Gal Costa,177.0,0.56,702.0,0.0,4,375.0,-13.403,1,254.0,114.242,819.0
6OwTwISVd3Nfk9CaXIEUg2,"Bahia, Minha Preta",Gal Costa,326.0,747.0,591.0,204,2,163.0,-10.26,1,397.0,89.345,961.0
5LUvxwjUfv42t4Y6uXZoU3,Musa Cabolca,Gal Costa,679.0,738.0,485.0,247,2,117.0,-13.208,1,381.0,96.524,858.0
4HjOHnfZDnI8GBX58g4eZb,Olhos Do Coracao,Gal Costa,679.0,586.0,604.0,2.25e-06,4,112.0,-10.792,0,618.0,129.83,839.0
7DqPokh94js5rJUQf1mMtV,Eu Vou Lhe Avisar,Gal Costa,102.0,807.0,625.0,4.07e-05,5,105.0,-11.132,1,425.0,93.243,945.0
2m1G38M0gJuE4aVPh0tmIP,Balance,Gal Costa,849.0,638.0,736.0,0.0,9,333.0,-10.536,1,811.0,144.823,881.0
1gsQwdI6ypBnFFZEyH6mtV,Chao Da Praca,Ivete Sangalo,433.0,546.0,722.0,0.0,9,0.94,-11.453,0,317.0,161.996,424.0
3kw8L1DTHXvK9EKezZisQ4,Nao Vou Ficar,Ivete Sangalo,209.0,659.0,0.91,1,7,0.93,-5.989,1,891.0,100.04,621.0
2oh9IhwPLdMxtMmyKFZNcj,Flor Do Reggae,Ivete Sangalo,121.0,614.0,791.0,1.78e-05,1,699.0,-8.774,1,459.0,164.454,811.0
5jrWBkRdP2Skh2A1HTX3JX,So Pra Me Ver,Ivete Sangalo,398.0,724.0,863.0,0.0,4,662.0,-8.563,0,103.0,116.356,666.0
0ITuYOPXILRdfMovdjwfPI,Brasileiro,Ivete Sangalo,164.0,515.0,989.0,9.97e-05,6,795.0,-5.754,1,185.0,138.787,132.0
4NIss4KWIchNRtl6nczMh4,Meu Segredo,Ivete Sangalo,318.0,634.0,0.87,116,8,386.0,-5.742,0,661.0,82.033,613.0
1Z1XFWR9jucE8mmxkEP7tP,Nao Quero Dinheiro (So Quero Amar),Ivete Sangalo,368.0,539.0,959.0,0.0,7,691.0,-7.097,1,188.0,149.99,418.0
3Oz2ATj3mLwmWxxSRfF6zz,Carro Velho,Ivete Sangalo,242.0,484.0,916.0,2.37e-06,11,853.0,-8.051,0,385.0,170.727,334.0
2NTomSh86Fy6iHf4DSf49g,Nao Precisa Mudar,Ivete Sangalo,577.0,529.0,828.0,1.47e-05,0,467.0,-7.118,1,362.0,90.048,675.0
6K8w0i3YFNxWqOUoUqPgaV,Dancando,Ivete Sangalo,133.0,847.0,825.0,298,7,698.0,-5.07,1,688.0,114.004,0.86
6ZSMAODYXf8rPUXktvvDOh,Na Base Do Beijo,Ivete Sangalo,216.0,518.0,962.0,0.0,6,521.0,-5.162,1,217.0,158.088,0.51
38D6jO7JDx9nOB7KVNwr64,Faz Tempo,Ivete Sangalo,488.0,641.0,632.0,0.0,9,923.0,-9.681,1,459.0,90.305,521.0
1GL59ECaARDtGYRcFPAz2o,Dancando,Ivete Sangalo,159.0,0.84,818.0,2.91e-05,11,648.0,-5.457,0,73.0,114.039,824.0
19n5IEk5Spg5qearFSCi4a,Dengo de Amor - Live,Ivete Sangalo,504.0,515.0,875.0,9.35e-05,7,366.0,-5.694,1,702.0,126.66,906.0
04tq46OmNGxlTXSooi5hyq,Darte,Ivete Sangalo,463.0,633.0,806.0,0.0,7,927.0,-5.327,0,964.0,98.03,471.0
1lvAO9CiPHVfvpKjFYWW4y,Berimbau Metalizado,Ivete Sangalo,182.0,719.0,948.0,6.64e-06,11,617.0,-5.036,0,103.0,93.974,676.0
71UV2drV7lEjS6p4Qu316j,Acelera Ae (Noite Do Bem),Ivete Sangalo,179.0,617.0,978.0,5.94e-05,1,968.0,-4.195,1,0.12,139.983,452.0
4S0qALW1vuLPiGiWGMh0oV,Vem Meu Amor / Nossa Gente (Avisa La),Ivete Sangalo,351.0,0.54,821.0,0.0,11,986.0,-8.836,0,128.0,164.474,741.0
72k3AHRLMfr00Ze0WIHxQW,Corazon Partio - Live,Ivete Sangalo,0.67,374.0,852.0,0.0,5,775.0,-7.333,1,804.0,86.023,629.0
3kLTtSt4YY4aTztR7u3Uyb,Colecao,Ivete Sangalo,676.0,413.0,239.0,4.99e-05,7,962.0,-18.155,1,406.0,127.299,215.0
